id,publication_id,edition_id,title,author_creator,corporate_creators,contributors,description_abstract,date_period,year,type,place_of_publishing,publisher,format,extent,other_physical_description,call_number,language,general_note,subject_keywords,url_original_object
320728,348103,320728,Էթնոքաղաքական տեղաշարժերը Մերձավոր Արևելքում և Հայկական լեռնաշխարհում մ.թ.ա. VII-VI դդ.,"Ցականյան, Ռուսլան Արշակի",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Խմբ.՝ Ա. Վ. Քոսյան,Երևան,2018,2018,Գիրք,Երևան,Էդիթ պրինտ,pdf,290 էջ,նկ․,AII/103532 ; AII/103533,hy,,Պատմություն Ազգագրություն Մերձավոր Արևելք ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/348103/edition/320728
320689,348062,320689,Էջեր Մանուկ բեյի կյանքեն,Սիրունի Հակոբ,"ՀՀ ԳԱԱ, Արևելագիտության ինստիտուտ",,Երևան,2018,2018,Գիրք,Երևան,ՀՀ ԳԱԱ «Գիտություն» հրատ.,pdf,179 էջ,,AII/103719,hy ; en,,Պատմություն Հայագիտություն Մանուկ Բեյ Կենսագրություն ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,https://arar.sci.am/dlibra/publication/348062/edition/320689
320722,348099,320722,Ընտրանի,"Կիրակոսյան, Ջոն Սահակի",ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,,Երևան,2014,2014,Գիրք,Երևան,Գիտություն,pdf,730 էջ,դիմանկ.,AII/99841,hy,,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ Հայոց պատմություն,https://arar.sci.am/dlibra/publication/348099/edition/320722
266084,289795,266084,"Թյուրքագիտական և օսմանագիտական հետազոտություններ, V",,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Ռ. Սաֆրաստյան,Երևան,2008,2008,Գիրք,Երևան,Լուսակն հրատ.,pdf,261 էջ,,AII/96333,hy ; ru ; en,,Պատմություն Թուրքիա,https://arar.sci.am/dlibra/publication/289795/edition/266084
266131,289843,266131,"Թյուրքագիտական և օսմանագիտական հետազոտություններ , VI",,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Ռ. Սաֆրաստյան,Երևան,2009,2009,Գիրք,Երևան,Լուսակն հրատ.,pdf,378 էջ,,AII/96779 ; AII/96778,hy ; ru ; en,,Պատմություն Թուրքիա,https://arar.sci.am/dlibra/publication/289843/edition/266131
266133,289845,266133,"Թյուրքագիտական և օսմանագիտական հետազոտություններ, VII",,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Ռ. Սաֆրաստյան,Երևան,2011,2011,Գիրք,Երևան,Լուսակն հրատ.,pdf,455 էջ,,AII/105668 ; AII/98158 ; AII/98157,hy,,Պատմություն Թուրքիա,https://arar.sci.am/dlibra/publication/289845/edition/266133
265968,289689,265968,"Թուրքագիտական և օսմանագիտական հետազոտություններ =Туркологические и османистические исследования = Turkish and Ottoman studies, I",,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Ռ. Սաֆրաստյան,Երևան,2002,2002,Գիրք,Երևան,Զանգակ հրատ.,pdf,104 էջ,,AII/90469 ; AII/90482,hy ; ru ; en,,Պատմություն Թուրքիա,https://arar.sci.am/dlibra/publication/289689/edition/265968
266079,289789,266079,"Թուրքագիտական և օսմանագիտական հետազոտություններ, III",,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Ռ. Սաֆրաստյան,Երևան,2005,2005,Գիրք,Երևան,Լուսաբաց հրատ․,pdf,112 էջ,,AII/90471 ; AII/90470,hy ; en,,Պատմություն Թուրքիա,https://arar.sci.am/dlibra/publication/289789/edition/266079
266083,289793,266083,"Թուրքագիտական և օսմանագիտական հետազոտություններ, IV",,ՀՀ ԳԱԱ Արևելագիտության ինստիտուտ,Պատ. խմբ.՝ Ռ. Սաֆրաստյան,Երևան,2006,2006,Գիրք,Երևան,Ասողիկ հրատ.,pdf,292 էջ,,AII/92316 ; AII/92315,hy ; ru ; en,,Պատմություն Թուրքիա,https://arar.sci.am/dlibra/publication/289793/edition/266083
9874,11286,9874,Թուրքական աղբյուրներ,,ՀՍՍՀ ԳԱ արևելագիտության ինստիտուտ,Թարգմ.՝ Ա. Խ. Սաֆրաստյան ; Գ. Հ. Սանթուրջյան,Երևան,1972,1972,Գիրք,Երևան,ՀՍՍՀ ԳԱ հրատ․,pdf,259 էջ,,AII/49065,hy ; ru ; en,"«Օտար աղբյուրները Հայաստանի և հայերի մասին» սույն մատենաշարի առաջին երեք հատորները հրապարակվել են առանց համապատասխան համարների: Դրանք են՝ 1. Թուրքական աղբյուրները Հայաստանի, հայերի և Անդրկովկասի մյուս ժողովուրդների մասին. թարգմանություն թուրքերեն բնագրից՝ ներածությունով, ծանոթագրություններով, տերմինաբանական բառարանով և հավելվածով, կազմեց Ա. Խ. Սաֆրաստյան, հատոր Ա., Երևան, 1961: 2. Թուրքական աղբյուրները Հայաստանի, հայերի և Անդրկովկասի մյուս ժողովուրդների մասին. թարգմանություն թուրքերեն բնագրից՝ ներածական ակնարկով, ծանոթագրություններով և հավելվածով, կազմեց Ա. Խ. Սաֆրաստյան, հատոր Բ., Երևան, 1964: 3. Արաբական աղբյուրները Հայաստանի և հարևան երկրների մասին. կազմեց Հ. Թ. Նալբանդյան, Երևան, 1965: 4. Բյուզանդական աղբյուրներ. գիրք Ա., Պրոկոպիոս Կեսարացի. թարգմանություն բնագրից, առաջաբան և ծանոթագրություններ՝ Հրաչ Բարթիկյանի:",Հայ ժողովրդի պատմություն Աղբյուրագիտություն Թուրքական աղբյուրներ,https://arar.sci.am/dlibra/publication/11286/edition/9874
